name,weight percentage
n-C7 (n-heptane),1
n-C9 (n-nonane),1
n-C10 (n-decane),1
n-C12 (n-dodecane),1
i-C8 (iso-octane),1
"i-C10 (2,7-dimethyloctane)",1
i-C11 (2-methyldecane),1
i-C15 (farnesane),1
C9H18 (n-propylcyclohexane),1
C10H18 (decalin),1
C7H8 (toluene),1
C8H10 (ethylbenzene),1
C9H12 (propylbenzene),1
C9H10 (indane),1
C9H8 (indene),1
C10H12 (tetralin),1
C10H8 (naphthalene),1
C11H10 (1-methylnaphthalene),1
C12H10 (biphenyl),1
C12H8 (acenaphthylene),1
C14H10 (phenanthrene),1