Fuel,Density_Model,Density_Experiment,Viscosity_Model,Viscosity_Experiment
,kg/m^3,kg/m^3,mm^2/s,mm^2/s
S-IPK-A,778.0405405,783.1081081,2.751592357,
S-HN1,767.9054054,759.4594595,3.057324841,
S-HN2,832.0945946,821.9594595,3.261146497,
S-LD2,882.7702703,870.9459459,8.152866242,
S-IPK,745.9459459,757.7702703,3.668789809,
S-LD1,801.6891892,793.2432432,3.770700637,
JS-A1,800,794.9324324,3.566878981,3.261146497
JS-A1.3,784.7972973,786.4864865,3.464968153,3.363057325
JS-B3,830.4054054,825.3378378,4.178343949,4.687898089
JS-C1,881.0810811,865.8783784,9.375796178,
E1-Ref1,803.3783784,810.1351351,3.770700637,4.585987261
E1-Ref2,806.7567568,810.1351351,3.872611465,4.484076433
E1-SSJF1,781.4189189,791.5540541,3.464968153,4.382165605
E1-SSJF2,776.3513514,784.7972973,3.363057325,4.076433121
E1-SSJF3,800,805.0675676,3.770700637,4.382165605
E1-FSJF,813.5135135,808.4459459,3.668789809,4.891719745
E2-Ref3,825.3378378,815.2027027,4.280254777,4.585987261
E2-Ref4,794.9324324,791.5540541,3.363057325,2.955414013
E2-SAJF1,789.8648649,784.7972973,3.566878981,4.280254777
E2-SAJF2,783.1081081,778.0405405,3.261146497,3.261146497
E2-SAJF3,800,796.6216216,3.566878981,3.974522293
JS-B1,710.472973,764.527027,2.445859873,
Acc-HEFA50,786.4864865,784.7972973,3.872611465,4.687898089
ATJ-SKA,749.3243243,786.4864865,4.382165605,
FT-Light,723.9864865,762.8378378,2.140127389,
Farnesane,771.2837838,772.972973,13.85987261,