Fuel,Viscosity_Model,Viscosity_Experiment
,mm^2/s,mm^2/s
S-IPK-A,2.73,
S-HN1,3.08,
S-HN2,3.26,
S-LD2,8.1,
S-IPK,3.68,
S-LD1,3.72,
JS-A1,3.47,3.369
JS-A1.3,3.43,3.421
JS-B3,4.31,4.754
JS-C1,9.38,
E1-Ref1,3.81,4.557
E1-Ref2,3.93,4.46575
E1-SSJF1,3.53,4.3475
E1-SSJF2,3.44,3.985
E1-SSJF3,3.8,4.467
E1-FSJF,3.64,4.928
E2-Ref3,4.41,4.596
E2-Ref4,3.32,3.01
E2-SAJF1,3.71,4.302
E2-SAJF2,3.21,3.276
E2-SAJF3,3.71,3.961
JS-B1,2.43,
Acc-HEFA50,3.93,4.7
ATJ-SKA,4.49,
FT-Light,2.09,
Farnesane,14,